"","x"
"196",-69682.6218076722
"197",12900.635547266
"198",28592.088706608
"199",-649.126839133246
"200",-6450.71276796753
"201",-21043.8221613325
"202",8580.38660370341
"203",1170.40456194267
"204",15874.5076008644
"205",-14028.2697808456
"206",-38074.4006111951
"207",12484.3653433412
"208",14182.3865992728
"209",-43407.705494718
"210",35146.7143386196
"211",-43255.4628049615
"212",-7481.51086940465
"213",42411.7058847094
"214",41110.4930499292
"215",-15833.4796131564
"216",36461.8408264824
"217",-39045.4308932911
"218",-34991.9049168569
"219",17735.3863921654
"220",-46906.2963460426
"221",70980.2100402751
"222",48237.699682406
"223",3799.12226923262
"224",5474.70440164573
"225",-3677.69863865303
"226",-17201.189638484
"227",-25610.378772542
"228",-12881.4891562066
"229",-40289.1927332821
"230",-19292.1383147308
"231",-37063.7074986324
"232",50087.7471456351
"233",1746.12030902435
"234",25184.3053944129
"235",-77413.1917953945
"236",3019.51994267922
"237",37855.3554002792
"238",-9059.84122061081
"239",6472.9008222958
"240",-44471.2885311795
"241",-34748.3070331772
"242",46369.971394334
"243",3679.54922484759
"244",25220.751654314
"245",-2479.69298375753
"246",-30725.3255074859
"247",26426.5621399439
"248",3404.68512840048
"249",-15752.5595443328
"250",-22624.4107646416
"251",-54994.4599673227
"252",-6183.99499273571
"253",39183.2463355503
"254",24252.8683879941
"255",-21257.5897002718
"256",1419.55336376642
"257",2489.75336955422
"258",-60309.9865244311
"259",55816.9276708069
"260",40429.9748761746
"261",17176.353257783
"262",-31851.7716368077
"263",57317.9594681495
"264",-55344.7983625582
"265",-22558.4477545413
"266",-16346.7322766714
"267",16252.2164166449
"268",-15548.9185690239
"269",-1380.14930257478
"270",40478.4699797449
"271",56293.2492926037
"272",-41721.344781015
"273",-26757.5208579582
"274",21140.2205091248
"275",-24919.3870125601
"276",-9835.43168316233
"277",6561.76377788903
"278",-9970.97594697191
"279",81524.6798381901
"280",1449.40974229721
"281",-25582.578952801
"282",-36491.015237965
"283",-9445.04428023769
"284",-25216.360382687
"285",20653.3850335312
"286",9805.12814109955
"287",-28963.5638269826
"288",1874.69003681748
"289",48025.389669278
"290",41810.5005609319
"291",-5506.44033417995
"292",-33656.5251763903
"293",73372.7243839758
"294",-19302.7788375903
"295",51844.3675681894
"296",-11862.2287138402
"297",19844.4072568105
"298",10433.6917316094
"299",-35669.4968685898
"300",25776.9401513705
"301",17423.9450146471
"302",52779.3962819575
"303",-58518.2983993508
"304",30603.5721079558
"305",12395.5823510074
"306",9715.42404797054
"307",-9223.11052506881
"308",779.162599365491
"309",-5739.20660506213
"310",38407.6318203831
"311",23155.500795549
"312",42174.7339132004
"313",-33747.3458256046
"314",64906.7468793695
"315",-62147.2266339337
"316",-19125.5512369731
"317",-26451.5641447049
"318",67374.5233516132
"319",-6291.28503688521
"320",6891.47634258747
"321",-47587.1713238905
"322",40340.8899903332
"323",28444.36711084
"324",20426.4560493018
"325",-3971.01535078179
"326",-1621.50724755859
"327",61006.1460297259
"328",4621.41692170667
"329",24814.4793335019
"330",80823.0516376178
"331",-18655.689303262
"332",48299.8144588765
"333",33844.9923599346
"334",35773.083675182
"335",-1725.93548869835
"336",-1069.26600950422
"337",784.835442371967
"338",-6641.78585288264
"339",-31343.0538224203
"340",-85065.3751940408
"341",-6204.82377152855
"342",48441.4284669843
"343",-15835.0191433191
"344",39025.4944245277
"345",-74923.2119289577
"346",-19730.096190549
"347",19529.4017441454
"348",-18546.1316326609
"349",67260.9563110141
"350",42236.3456500792
"351",66503.7142606342
"352",30931.4959024054
"353",18190.8610163635
"354",57499.5639979548
"355",-37094.2653177463
"356",18909.2930125461
"357",-5409.8037168959
"358",131165.654390576
"359",3814.70430995654
"360",65236.0469410882
"361",14799.6407181636
"362",-10147.2502836273
"363",11301.0419216168
