"","importance","x_names"
"4766",-414017.446856153,"ERCC5..2073."
"8916",-413942.557581825,"MICALL1..85377."
"2074",-413359.148790584,"CALML4..91860."
"4785",-413142.219088325,"ERICH6..131831."
"12307",-412770.828477172,"RGP1..9827."
"3660",-412590.678761684,"CYB561D1..284613."
"6622",-412068.356656923,"HLA.C..3107."
"5475",-411960.4269445,"FOXC2..2303."
"13985",-411755.345786553,"SOX17..64321."
"17013",-411305.252801698,"ZNF382..84911."
"5823",-411106.201850226,"GFRA4..64096."
"1281",-410959.272050467,"AURKB..9212."
"1696",-410860.371771738,"C12orf56..115749."
"16715",-410268.407679319,"ZC3H12A..80149."
"8440",-409864.617444874,"LYL1..4066."
"396",-409762.069289336,"AFG1L..246269."
"16080",-409388.852090921,"UFD1..7353."
"10604",-408626.652350916,"PCGF3..10336."
"6349",-408416.179872464,"GZF1..64412."
"9732",-408374.033958668,"NEUROD6..63974."
"15496",-408324.273275141,"TOMM6..100188893."
"10752",-408268.287688848,"PEMT..10400."
"70",-407711.753620208,"ABCF2..10061."
"5877",-407256.617717915,"GJA10..84694."
"5459",-407178.914665647,"FNTA..2339."
"12551",-406984.321119739,"RORB..6096."
"15925",-406942.938931564,"TUT4..23318."
"1704",-406864.238342075,"C12orf75..387882."
"17031",-406335.040222654,"ZNF415..55786."
"11381",-406324.444302836,"PPP1R16B..26051."
"10206",-406060.470147233,"OBSCN..84033."
"15447",-405993.390777985,"TNIP2..79155."
"7352",-405850.95266757,"ITPRIPL2..162073."
"3872",-404699.617812232,"DDX1..1653."
"10161",-404257.077967062,"NUP62CL..54830."
"15265",-403762.134586602,"TMEM237..65062."
"3770",-403716.745987481,"DAPK1..1612."
"17034",-403629.535903027,"ZNF419..79744."
"3809",-403403.504666355,"DCAF8L1..139425."
"6315",-403143.217451978,"GTF3C6..112495."
"13882",-403112.492599646,"SNN..8303."
"11256",-402933.066663531,"POLR2I..5438."
"2308",-402923.83208785,"CCDC28B..79140."
"16471",-402597.598429763,"WDR73..84942."
"8912",-402511.183842744,"MICAL1..64780."
"461",-401953.948180331,"AIG1..51390."
"8540",-401931.294450476,"MAMDC4..158056."
"15869",-401747.811494813,"TTI2..80185."
"13406",-401678.95137374,"SLC17A2..10246."
"5671",-401675.690541828,"GALK1..2584."
"14725",-401670.829260344,"TBX10..347853."
"15088",-401662.987034859,"TM4SF4..7104."
"12674",-401475.943539947,"RPTOR..57521."
"3828",-401395.871009152,"DCLRE1C..64421."
"2202",-401360.802876806,"CBFA2T3..863."
"1106",-401019.735024612,"ASPG..374569."
"9527",-400925.371401887,"NANS..54187."
"11802",-400855.481957443,"PTPN18..26469."
"1753",-400776.085876543,"C18orf32..497661."
"4494",-400599.004542221,"EFR3B..22979."
"959",-400513.500399224,"ARID5A..10865."
"13964",-400449.231676854,"SORCS1..114815."
"2472",-400432.01182116,"CD22..933."
"3485",-399295.02609798,"CSF1..1435."
"9607",-399218.191678672,"NDC1..55706."
"1589",-399217.277548727,"BRMS1..25855."
"16821",-399205.14613066,"ZG16..653808."
"4736",-398761.623110553,"EPN3..55040."
"8776",-398589.267386382,"MED24..9862."
"2004",-398338.242471278,"CAB39L..81617."
"16287",-398289.360100875,"VDAC1..7416."
"16332",-397994.388368153,"VPS16..64601."
"6109",-397868.430215398,"GPR143..4935."
"15856",-397827.912341943,"TTC39B..158219."
"9540",-397449.381768153,"NARS..4677."
"7959",-397442.149353926,"LACTB..114294."
"8121",-397031.620737861,"LHX2..9355."
"2839",-396581.111713383,"CHCHD10..400916."
"4969",-396264.454138413,"FAM122C..159091."
"11742",-396248.512421058,"PTBP1..5725."
"10220",-396098.631250111,"ODC1..4953."
"3426",-396020.182113978,"CRH..1392."
"9910",-395860.994132925,"NOL8..55035."
"1463",-395417.472216097,"BFAR..51283."
"6014",-395408.824054221,"GNPDA1..10007."
"7987",-395224.14520139,"LAMTOR5..10542."
"13507",-395052.98858801,"SLC26A10..65012."
"10612",-394662.717302007,"PCLO..27445."
"13025",-394450.581999912,"SEC63..11231."
"17051",-394177.210148444,"ZNF441..126068."
"16254",-393928.608676643,"UXT..8409."
"13143",-393820.229107012,"SETD7..80854."
"8456",-393688.993795575,"LYRM9..201229."
"5722",-393552.156194048,"GAS8..2622."
"10243",-393328.247390908,"OIT3..170392."
"3509",-393286.196011432,"CSNK1G3..1456."
"3333",-393134.864837985,"COX7A2L..9167."
"6595",-393107.074500998,"HIST1H4C..8364."
"4450",-392963.564493797,"EEF1A1..1915."
"6616",-392139.675843668,"HK2..3099."
"6649",-392050.571942995,"HMG20B..10362."
"2113",-391921.444808544,"CAPN12..147968."
"12892",-391838.618476741,"SCAMP5..192683."
"11957",-391698.199548671,"RAB3GAP2..25782."
"9441",-391667.553207166,"MYO1F..4542."
"418",-391531.958631823,"AGMAT..79814."
"423",-391527.025354674,"AGO4..192670."
"12808",-391458.725962275,"S100Z..170591."
"12958",-391342.306112136,"SCRN3..79634."
"4795",-391220.994491916,"ERN2..10595."
"5742",-391103.86751808,"GBP1..2633."
"802",-391010.564186151,"APH1A..51107."
"7274",-390877.286364384,"IRX1..79192."
"7109",-390780.980252803,"IL36A..27179."
"16427",-390720.179451972,"WDR1..9948."
"14014",-390610.399922176,"SPACA7..122258."
"11783",-390576.625906805,"PTK2..5747."
"5216",-390536.466202113,"FBXL6..26233."
"6854",-390178.180649201,"HTATSF1..27336."
"15698",-390048.142127883,"TRIP13..9319."
"1233",-390043.0778017,"ATP6V1A..523."
"13058",-389982.3602151,"SEMA4C..54910."
"11194",-389829.80386525,"PNN..5411."
"9790",-389631.81339032,"NICN1..84276."
"11456",-389058.854438069,"PRAP1..118471."
"5772",-388671.978320151,"GCNT3..9245."
"17073",-388302.847432666,"ZNF483..158399."
"1639",-388297.535791969,"BTNL8..79908."
"6700",-388212.227720527,"HOGA1..112817."
"15557",-387636.432691868,"TPPP3..51673."
"16415",-387427.262348457,"WBP11..51729."
"7937",-387292.813006426,"KRTCAP2..200185."
"9929",-387205.991723365,"NOSTRIN..115677."
"15143",-387204.738628448,"TMEM116..89894."
"8531",-386720.894253317,"MAIP1..79568."
"3874",-386635.166872727,"DDX11..1663."
"2714",-386442.121291722,"CENPM..79019."
"13303",-386275.646005555,"SIGLEC8..27181."
"6632",-386100.385009572,"HLA.DQB2..3120."
"9340",-385850.369540434,"MUC16..94025."
"12771",-385580.098666095,"RUSC2..9853."
"11924",-385476.016706282,"RAB19..401409."
"15624",-385307.14341227,"TRH..7200."
"16825",-385288.568376703,"ZGRF1..55345."
"3276",-385287.657939828,"COPA..1314."
"1673",-385244.918979524,"C11orf53..341032."
"2612",-385180.981068172,"CDK14..5218."
"15475",-385176.421296875,"TNS1..7145."
"3673",-385135.064398168,"CYBC1..79415."
"9171",-385056.894744776,"MRPL46..26589."
"14892",-385049.730537004,"TF..7018."
"6968",-384822.359768215,"IFNGR2..3460."
"416",-384757.847448935,"AGK..55750."
"4025",-384627.380461362,"DHX36..170506."
"4013",-384620.480961067,"DHRS7C..201140."
"17382",-384514.908518489,"ZUP1..221302."
"10147",-384503.073202676,"NUP155..9631."
"7508",-384426.870402358,"KCNK4..50801."
"11674",-384249.310219295,"PSG4..5672."
"12541",-384199.102196171,"ROBO4..54538."
"5028",-384102.269598857,"FAM181B..220382."
"11410",-384094.763714441,"PPP2R2A..5520."
"7107",-383957.364262384,"IL33..90865."
"2903",-383796.661179453,"CHRM5..1133."
"5226",-383726.458799547,"FBXO22..26263."
"13942",-383712.441621599,"SNX9..51429."
"8771",-383655.781945485,"MED19..219541."
"10735",-383605.362956107,"PDZRN3..23024."
"15541",-383543.984986573,"TPGS1..91978."
"14867",-383400.781957795,"TEX11..56159."
"14534",-383304.035685748,"SYPL2..284612."
"12493",-383164.856872283,"RNF186..54546."
"9979",-383044.060951755,"NPR2..4882."
"15684",-382945.556175738,"TRIM69..140691."
"14377",-382924.102547174,"STOX1..219736."
"7586",-382721.159823078,"KHDC1..80759."
"11656",-382338.867114563,"PRTN3..5657."
"11594",-382290.410685182,"PRR13..54458."
"13088",-382283.31783022,"SERINC4..619189."
"3268",-382216.81345335,"COMMD6..170622."
"10757",-382166.371621696,"PER3..8863."
"9940",-381932.531466758,"NOX3..50508."
"4429",-381674.326806001,"EDA..1896."
"4782",-381574.796874752,"ERICH1..157697."
"16887",-381564.776281496,"ZNF154..7710."
"14484",-381477.024177254,"SV2C..22987."
"3162",-381323.862881475,"CNOT8..9337."
"7349",-381126.460835026,"ITPR3..3710."
"15805",-380767.463492677,"TSPO..706."
"13045",-380649.01511393,"SELENOW..6415."
"8526",-380587.202134959,"MAGI3..260425."
"7956",-380567.295837168,"L3MBTL4..91133."
"9808",-380245.782274533,"NIPSNAP1..8508."
"10468",-380181.406291403,"PARD3..56288."
"15413",-380090.347114144,"TNFRSF10A..8797."
"11693",-379801.495285224,"PSMB2..5690."
"12414",-379710.157795725,"RLN2..6019."
"10127",-379668.563123387,"NUDT19..390916."
"14169",-379559.428142564,"SPTSSA..171546."
"4060",-379483.990610377,"DKK1..22943."
"146",-378938.186945273,"ACER3..55331."
"978",-378845.596772753,"ARL4C..10123."
"13578",-378630.938451171,"SLC35E3..55508."
"11694",-378610.668262844,"PSMB3..5691."
"9303",-378343.51589731,"MTIF3..219402."
"9617",-378215.991424451,"NDRG1..10397."
"16101",-377516.429779163,"UGT2B28..54490."
"16435",-377380.855189343,"WDR24..84219."
"6563",-377328.921840837,"HIST1H2AC..8334."
"9204",-377325.799491006,"MRPS31..10240."
"1420",-377263.667428394,"BCL2L2..599."
"8947",-377245.855525879,"MIPEP..4285."
"2611",-377173.452603893,"CDK13..8621."
"4515",-377092.533898246,"EHD4..30844."
"11075",-376958.813611251,"PLEC..5339."
"5245",-376837.999139235,"FBXO44..93611."
"11581",-376824.881838302,"PRPF40B..25766."
"2343",-376679.628616589,"CCDC8..83987."
"7615",-376624.507016754,"KIAA1143..57456."
"3546",-376452.679365774,"CTBP1..1487."
"6489",-376399.832624727,"HEPHL1..341208."
"12175",-376394.971868364,"RBP1..5947."
"2993",-376288.224935471,"CLCN5..1184."
"13251",-376210.049037223,"SHC1..6464."
"14743",-375954.289431295,"TCAIM..285343."
"9265",-375939.043614485,"MSX2..4488."
"10797",-375938.793194459,"PGAM2..5224."
"1399",-375740.578566058,"BCAS3..54828."
"11541",-375693.981678708,"PRM1..5619."
"9445",-375639.057977981,"MYO3B..140469."
"6160",-375602.969464969,"GPR68..8111."
"11482",-375526.811893592,"PRDX6..9588."
"9491",-375487.397798818,"NAA40..79829."
"2009",-375360.591424063,"CABP1..9478."
"10404",-375199.665527445,"PACSIN1..29993."
"16361",-374477.109392975,"VPS9D1..9605."
"3210",-374380.14017233,"COG8..84342."
"8895",-374049.088729484,"MGAT4D..152586."
"62",-373799.438008833,"ABCC8..6833."
"10447",-373756.727519965,"PANK2..80025."
"7442",-373664.914237762,"KCMF1..56888."
"6236",-373633.035142758,"GRK2..156."
"2246",-373420.95402748,"CCDC12..151903."
"14463",-373186.940111426,"SUPT3H..8464."
"8591",-373129.616333474,"MAP3K6..9064."
"6009",-372852.484854423,"GNL3..26354."
"1378",-372828.156890401,"BAZ2B..29994."
"7588",-372730.663707999,"KHDC3L..154288."
"8692",-372717.382105297,"MC2R..4158."
"5991",-372601.536998353,"GNB2..2783."
